mode,threshold,alerts,tp,fp,fn,precision,recall,f1
conservative,0.997,198,161,37,616,0.8131,0.2072,0.3303
balanced,0.9935,552,273,279,504,0.4946,0.3514,0.4108
aggressive,0.973,2208,443,1765,334,0.2006,0.5701,0.2968
budget_0.05pct,0.9951,380,230,150,547,0.6053,0.296,0.3976
budget_0.10pct,0.9915,761,312,449,465,0.41,0.4015,0.4057
budget_0.25pct,0.9774,1904,429,1475,348,0.2253,0.5521,0.32
budget_0.50pct,0.9374,3808,516,3292,261,0.1355,0.6641,0.2251
budget_1.00pct,0.7646,7617,613,7004,164,0.0805,0.7889,0.1461
